id,parent_id/id,code,name
__export__.sni_782,,782,Personaluthyrning
__export__.sni_783,,783,Övrigt tillhandahållande av personalfunktioner
__export__.sni_791,,791,Resetjänster
__export__.sni_799,,799,Turist- och bokningsservice
__export__.sni_801,,801,Säkerhetsverksamhet
__export__.sni_802,,802,Säkerhetssystemtjänster
__export__.sni_803,,803,Spanings- och detektivverksamhet
__export__.sni_811,,811,Fastighetsrelaterade stödtjänster
__export__.sni_812,,812,Rengöring och lokalvård
__export__.sni_813,,813,Skötsel och underhåll av grönytor
__export__.sni_821,,821,Kontorstjänster
__export__.sni_822,,822,Callcenterverksamhet
__export__.sni_823,,823,Arrangemang av kongresser och mässor
__export__.sni_829,,829,Andra företagstjänster
__export__.sni_841,,841,Offentlig förvaltning
__export__.sni_842,,842,Offentliga tjänster
__export__.sni_843,,843,Obligatorisk socialförsäkring
__export__.sni_851,,851,Förskoleutbildning
__export__.sni_852,,852,Grundskoleutbildning
__export__.sni_853,,853,Gymnasial utbildning
__export__.sni_854,,854,Eftergymnasial utbildning
__export__.sni_855,,855,Vuxenutbildning och övrig utbildning
__export__.sni_856,,856,Stödverksamhet för utbildningsväsendet
__export__.sni_861,,861,Sluten sjukvård
__export__.sni_862,,862,"Öppen hälso- och sjukvård, tandvård"
__export__.sni_869,,869,Annan hälso- och sjukvård
__export__.sni_871,,871,Boende med sjuksköterskevård
__export__.sni_872,,872,"Boende med särskild service för personer med utvecklingsstörning, psykiska funktionshinder eller missbruksproblem"
__export__.sni_873,,873,Vård och omsorg i särskilda boendeformer för äldre och funktionshindrade personer
__export__.sni_879,,879,Annan vård och omsorg med boende
__export__.sni_881,,881,Öppna sociala insatser för äldre och funktionshindrade personer
__export__.sni_889,,889,Andra öppna sociala insatser
__export__.sni_900,,900,Konstnärlig och kulturell verksamhet samt underhållningsverksamhet
__export__.sni_910,,910,"Biblioteks-, arkiv- och museiverksamhet m.m."
__export__.sni_920,,920,Spel- och vadhållningsverksamhet
__export__.sni_931,,931,Sportverksamhet
__export__.sni_932,,932,Fritids- och nöjesverksamhet
__export__.sni_941,,941,"Intressebevakning inom bransch-, arbetsgivar- och yrkesorganisationer"
__export__.sni_942,,942,Intressebevakning inom arbetstagarorganisationer
__export__.sni_949,,949,Verksamhet i religiösa samfund och i andra intresseorganisationer
__export__.sni_951,,951,Reparation av datorer och kommunikationsutrustning
__export__.sni_952,,952,Reparation av hushållsartiklar och personliga artiklar
__export__.sni_960,,960,Andra konsumenttjänster
__export__.sni_970,,970,Förvärvsarbete i hushåll
__export__.sni_981,,981,Hushållens produktion av diverse varor för eget bruk
__export__.sni_982,,982,Hushållens produktion av diverse tjänster för eget bruk
__export__.sni_990,,990,"Verksamhet vid internationella organisationer, utländska ambassader o.d."
__export__.sni_0111,,0111,"Odling av spannmål (utom ris), baljväxter och oljeväxter"
__export__.sni_0112,,0112,Odling av ris
__export__.sni_0113,,0113,"Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar"
__export__.sni_0114,,0114,Odling av sockerrör
__export__.sni_0115,,0115,Odling av tobak
__export__.sni_0116,,0116,Odling av fiberväxter
__export__.sni_0119,,0119,Odling av andra ett- och tvååriga växter
__export__.sni_0121,,0121,Odling av druvor
__export__.sni_0122,,0122,Odling av tropiska och subtropiska frukter
__export__.sni_0123,,0123,Odling av citrusfrukter
__export__.sni_0124,,0124,Odling av kärnfrukter och stenfrukter
__export__.sni_0125,,0125,Odling av andra frukter och bär samt nötter
__export__.sni_0126,,0126,Odling av oljehaltiga frukter
__export__.sni_0127,,0127,Odling av växter för dryckesframställning
__export__.sni_0128,,0128,"Odling av kryddväxter, drog- och medicinalväxter"
__export__.sni_0129,,0129,Odling av andra fleråriga växter
__export__.sni_0130,,0130,Odling av plantskoleväxter
__export__.sni_0141,,0141,Mjölkproduktion och uppfödning av nötkreatur av mjölkras
__export__.sni_0142,,0142,Uppfödning av andra nötkreatur och bufflar
__export__.sni_0143,,0143,Uppfödning av hästar och andra hästdjur
__export__.sni_0144,,0144,Uppfödning av kameler och kameldjur
__export__.sni_0145,,0145,Uppfödning av får och getter
__export__.sni_0146,,0146,Uppfödning av svin
__export__.sni_0147,,0147,Äggproduktion och uppfödning av fjäderfä
__export__.sni_0149,,0149,Uppfödning av andra djur
__export__.sni_0150,,0150,Blandat jordbruk
__export__.sni_0161,,0161,Service till växtodling
__export__.sni_0162,,0162,Service till husdjursskötsel
__export__.sni_0163,,0163,Bearbetning av skördade växter
__export__.sni_0164,,0164,Bearbetning av utsäde
__export__.sni_0170,,0170,Jakt och service i anslutning härtill
__export__.sni_0210,,0210,Skogsförvaltning och skogsskötsel
__export__.sni_0220,,0220,Drivning
__export__.sni_0230,,0230,Insamling av annat vilt växande skogsmaterial än trä
__export__.sni_0240,,0240,Service till skogsbruk
__export__.sni_0311,,0311,Saltvattensfiske
__export__.sni_0312,,0312,Sötvattensfiske
__export__.sni_0321,,0321,Fiskodling i salvatten
__export__.sni_0322,,0322,Fiskodling i sötvatten
__export__.sni_0510,,0510,Stenkolsutvinning
__export__.sni_0520,,0520,Brunkolsutvinning
__export__.sni_0610,,0610,Utvinning av råpetroleum
__export__.sni_0620,,0620,Utvinning av naturgas
__export__.sni_0710,,0710,Järnmalmsutvinning
__export__.sni_0721,,0721,Utvinning av uran- och toriummalm
__export__.sni_0729,,0729,Utvinning av annan malm
__export__.sni_0811,,0811,"Brytning av natursten, kalk- och gipssten, krita och skiffer"
__export__.sni_0812,,0812,"Utvinning av sand, grus och berg; utvinning av lera och kaolin"
__export__.sni_0891,,0891,Brytning av kemiska mineral
__export__.sni_0892,,0892,Torvutvinning
__export__.sni_0893,,0893,Saltutvinning
__export__.sni_0899,,0899,Diverse övrig utvinning av mineral
__export__.sni_0910,,0910,Stödtjänster till råpetroleum- och naturgasutvinning
__export__.sni_0990,,0990,Stödtjänster till annan utvinning
__export__.sni_1011,,1011,Beredning och hållbarhetsbehandling av kreaturskött
__export__.sni_1012,,1012,Beredning och hållbarhetsbehandling av fjäderfäkött
__export__.sni_1013,,1013,Charkuteri- och annan köttvarutillverkning
__export__.sni_1020,,1020,Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur
__export__.sni_1031,,1031,Beredning och hållbarhetsbehandling av potatis
__export__.sni_1032,,1032,Juice- och safttillverkning
__export__.sni_1039,,1039,"Annan beredning och hållbarhetsbehandling av frukt, bär och grönsaker"
__export__.sni_1041,,1041,Framställning av oljor och fetter
__export__.sni_1042,,1042,Matfettstillverkning
